"run","tick","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount","IntegralBHGR","IntegralGRCount1","IntegralGRCount2","IntegralGRErtragCount1","IntegralGRErtragCount2","IntegralGRSichtCount1","IntegralGRSichtCount2","IntegralSTCount1","IntegralSTCount2","IntegralSTErtragCount1","IntegralSTErtragCount2","IntegralSTSichtCount1","IntegralSTSichtCount2","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRSicht1","IntegralBHGRSicht2","IntegralBHST1","IntegralBHST2","IntegralBHSTErtrag1","IntegralBHSTErtrag2","IntegralBHSTSicht1","IntegralBHSTSicht2"
52,166.0,197.0,804.0,10887.0,2621.0,9858.0,13707.0,1476.0,8170.0,418362.0,17867.0,331683.0,3964.0,12031.0,1676.0,1476.0,0.0,6494.0,1676.0,164526.0,253836.0,10079.0,7788.0,77847.0,253836.0,1494.0,2470.0,197.0,0.0,621.0,183.0,4387.0,6500.0,1320.0,1301.0,3423.0,6435.0
54,166.0,20.0,52.0,5886.0,760.0,4771.0,730.0,152.0,458.0,34320.0,5165.0,34067.0,327.0,588.0,142.0,152.0,0.0,382.0,76.0,13728.0,20592.0,5165.0,0.0,13475.0,20592.0,132.0,195.0,20.0,0.0,50.0,2.0,2376.0,3510.0,760.0,0.0,1912.0,2859.0
56,166.0,20.0,51.0,9698.0,2089.0,8421.0,1060.0,175.0,579.0,92504.0,14198.0,85623.0,616.0,888.0,172.0,175.0,0.0,475.0,104.0,35480.0,57024.0,9908.0,4290.0,28599.0,57024.0,226.0,390.0,20.0,0.0,47.0,4.0,3848.0,5850.0,1365.0,724.0,3141.0,5280.0
58,166.0,166.0,749.0,10791.0,3036.0,10105.0,59081.0,1299.0,7403.0,417314.0,27413.0,353989.0,5181.0,12091.0,46990.0,1299.0,0.0,5718.0,1685.0,164138.0,253176.0,19625.0,7788.0,100813.0,253176.0,1674.0,3507.0,166.0,0.0,573.0,176.0,4356.0,6435.0,1802.0,1234.0,3670.0,6435.0
60,166.0,20.0,124.0,6732.0,772.0,5007.0,1380.0,217.0,832.0,34891.0,5091.0,34550.0,610.0,1001.0,379.0,217.0,0.0,648.0,184.0,13969.0,20922.0,5091.0,0.0,13628.0,20922.0,220.0,390.0,20.0,0.0,105.0,19.0,2702.0,4030.0,772.0,0.0,2011.0,2996.0
62,166.0,46.0,113.0,9700.0,1956.0,8315.0,1194.0,307.0,787.0,93130.0,13603.0,85756.0,771.0,892.0,302.0,307.0,0.0,619.0,168.0,35578.0,57552.0,9445.0,4158.0,28204.0,57552.0,252.0,519.0,46.0,0.0,94.0,19.0,3850.0,5850.0,1241.0,715.0,3052.0,5263.0
64,166.0,1141.0,1754.0,10791.0,1905.0,10351.0,31126.0,8101.0,17421.0,385770.0,30455.0,346692.0,3788.0,21088.0,10038.0,1633.0,6468.0,7383.0,10038.0,154308.0,231462.0,30455.0,0.0,115230.0,231462.0,1448.0,2340.0,234.0,907.0,655.0,1099.0,4356.0,6435.0,1905.0,0.0,3916.0,6435.0
66,166.0,20.0,51.0,6381.0,934.0,5116.0,540.0,163.0,497.0,38075.0,6177.0,36883.0,327.0,477.0,63.0,163.0,0.0,434.0,63.0,14909.0,23166.0,5326.0,851.0,13730.0,23153.0,132.0,195.0,20.0,0.0,49.0,2.0,2546.0,3835.0,804.0,130.0,1983.0,3133.0
68,166.0,0.0,38.0,9925.0,3121.0,8464.0,718.0,93.0,395.0,106582.0,20206.0,96094.0,315.0,563.0,155.0,93.0,0.0,357.0,38.0,38800.0,67782.0,9514.0,10692.0,28312.0,67782.0,120.0,195.0,0.0,0.0,38.0,0.0,3880.0,6045.0,1317.0,1804.0,3011.0,5453.0
70,166.0,171.0,850.0,10900.0,3237.0,10197.0,72303.0,1175.0,8187.0,417642.0,31101.0,360564.0,4864.0,14550.0,57753.0,1175.0,0.0,6269.0,1918.0,164268.0,253374.0,23577.0,7524.0,107190.0,253374.0,1552.0,3312.0,171.0,0.0,655.0,195.0,4400.0,6500.0,1937.0,1300.0,3762.0,6435.0
72,166.0,20.0,99.0,5845.0,957.0,4906.0,764.0,193.0,635.0,37298.0,6433.0,36660.0,424.0,652.0,112.0,193.0,0.0,524.0,111.0,14726.0,22572.0,5509.0,924.0,14088.0,22572.0,164.0,260.0,20.0,0.0,82.0,17.0,2335.0,3510.0,827.0,130.0,1921.0,2985.0
74,166.0,20.0,120.0,9670.0,1938.0,8008.0,1198.0,213.0,767.0,92128.0,13042.0,82783.0,814.0,1005.0,193.0,213.0,0.0,641.0,126.0,35368.0,56760.0,9148.0,3894.0,26023.0,56760.0,294.0,520.0,20.0,0.0,101.0,19.0,3820.0,5850.0,1226.0,712.0,2930.0,5078.0
76,166.0,187.0,863.0,10791.0,1393.0,9965.0,76289.0,1402.0,7844.0,386114.0,12651.0,316632.0,4503.0,20225.0,56064.0,1402.0,0.0,6009.0,1835.0,154652.0,231462.0,12651.0,0.0,85170.0,231462.0,1513.0,2990.0,187.0,0.0,654.0,209.0,4356.0,6435.0,1393.0,0.0,3531.0,6434.0
78,166.0,38.0,90.0,6309.0,736.0,5038.0,802.0,262.0,660.0,35877.0,4925.0,35235.0,424.0,692.0,110.0,262.0,0.0,566.0,94.0,14361.0,21516.0,4925.0,0.0,13719.0,21516.0,164.0,260.0,38.0,0.0,86.0,4.0,2539.0,3770.0,736.0,0.0,1989.0,3049.0
80,166.0,20.0,83.0,9495.0,2044.0,8233.0,1318.0,222.0,652.0,94544.0,14000.0,86347.0,645.0,709.0,609.0,222.0,0.0,561.0,91.0,36266.0,58278.0,9842.0,4158.0,28069.0,58278.0,194.0,451.0,20.0,0.0,79.0,4.0,3775.0,5720.0,1329.0,715.0,3037.0,5196.0
82,166.0,128.0,637.0,10887.0,4296.0,9931.0,27237.0,874.0,5695.0,443399.0,32845.0,358226.0,4024.0,8502.0,18735.0,874.0,0.0,4598.0,1097.0,169829.0,273570.0,12385.0,20460.0,84656.0,273570.0,1232.0,2792.0,128.0,0.0,514.0,123.0,4387.0,6500.0,1492.0,2804.0,3487.0,6444.0
84,166.0,20.0,66.0,6588.0,940.0,5381.0,858.0,168.0,568.0,38135.0,6227.0,37457.0,315.0,607.0,251.0,168.0,0.0,447.0,121.0,14903.0,23232.0,5303.0,924.0,14225.0,23232.0,120.0,195.0,20.0,0.0,51.0,15.0,2623.0,3965.0,810.0,130.0,2074.0,3307.0
86,166.0,2.0,60.0,9778.0,1975.0,8325.0,956.0,112.0,561.0,94092.0,13577.0,87666.0,501.0,732.0,224.0,112.0,0.0,469.0,92.0,36078.0,58014.0,9881.0,3696.0,29652.0,58014.0,176.0,325.0,2.0,0.0,58.0,2.0,3863.0,5915.0,1325.0,650.0,3122.0,5203.0
88,166.0,165.0,803.0,10887.0,2589.0,9879.0,13456.0,1268.0,7923.0,416540.0,19003.0,336986.0,4048.0,11807.0,1649.0,1268.0,0.0,6274.0,1649.0,163958.0,252582.0,12007.0,6996.0,84404.0,252582.0,1513.0,2535.0,165.0,0.0,624.0,179.0,4387.0,6500.0,1417.0,1172.0,3444.0,6435.0
90,166.0,20.0,110.0,6678.0,909.0,5216.0,1095.0,228.0,766.0,36660.0,6065.0,36134.0,596.0,832.0,263.0,228.0,0.0,633.0,133.0,14484.0,22176.0,5669.0,396.0,13958.0,22176.0,206.0,390.0,20.0,0.0,94.0,16.0,2648.0,4030.0,844.0,65.0,2041.0,3175.0
92,166.0,20.0,122.0,9683.0,1790.0,8127.0,1429.0,205.0,819.0,90370.0,13090.0,84697.0,719.0,1124.0,305.0,205.0,0.0,651.0,168.0,34666.0,55704.0,10516.0,2574.0,28993.0,55704.0,264.0,455.0,20.0,0.0,103.0,19.0,3833.0,5850.0,1336.0,454.0,3060.0,5067.0
94,166.0,136.0,685.0,10900.0,2765.0,10017.0,56826.0,1005.0,6091.0,417642.0,21049.0,341200.0,4633.0,12337.0,44489.0,1005.0,0.0,4437.0,1654.0,164268.0,253374.0,13525.0,7524.0,87826.0,253374.0,1516.0,3117.0,136.0,0.0,513.0,172.0,4400.0,6500.0,1530.0,1235.0,3519.0,6498.0
96,166.0,11.0,52.0,5944.0,1012.0,5020.0,1001.0,153.0,527.0,37905.0,6753.0,37156.0,424.0,646.0,355.0,153.0,0.0,432.0,95.0,14739.0,23166.0,5499.0,1254.0,13990.0,23166.0,164.0,260.0,11.0,0.0,50.0,2.0,2369.0,3575.0,817.0,195.0,1958.0,3062.0
