"tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour"
45.0,5150000.0,65.4368932038835,12.427184466019417,12.427184466019417,72.62135922330097,71.6504854368932,71.6504854368932,1.0,2.0
46.0,5150000.0,65.4368932038835,18.058252427184467,18.058252427184467,99.6116504854369,71.84466019417476,71.84466019417476,1.0,2.0
47.0,5150000.0,65.4368932038835,20.388349514563107,20.388349514563107,99.6116504854369,72.03883495145631,72.03883495145631,1.0,2.0
48.0,5150000.0,65.4368932038835,20.388349514563107,20.388349514563107,99.6116504854369,72.42718446601941,72.42718446601941,1.0,2.0
49.0,5150000.0,79.02912621359224,20.58252427184466,20.58252427184466,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
50.0,5150000.0,83.49514563106796,20.776699029126213,20.776699029126213,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
51.0,5150000.0,84.85436893203884,20.97087378640777,20.97087378640777,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
52.0,5150000.0,85.24271844660194,21.16504854368932,21.16504854368932,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
53.0,5150000.0,92.62135922330097,20.776699029126213,20.776699029126213,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
54.0,5150000.0,94.36893203883496,27.184466019417474,27.184466019417474,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
55.0,5150000.0,94.75728155339806,27.184466019417474,27.184466019417474,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
56.0,5150000.0,95.14563106796116,30.485436893203882,30.485436893203882,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
57.0,5134911.309999998,95.14563106796116,30.097087378640776,30.097087378640776,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
58.0,5119016.010000001,95.14563106796116,34.368932038834956,34.368932038834956,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
59.0,5102314.1000000015,95.14563106796116,34.1747572815534,34.1747572815534,99.6116504854369,72.62135922330097,72.62135922330097,1.0,2.0
60.0,5090622.970000003,95.14563106796116,44.271844660194176,34.368932038834956,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
61.0,5078384.439999998,95.33980582524272,44.66019417475729,34.95145631067961,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
62.0,5065609.089999997,95.33980582524272,47.57281553398058,37.4757281553398,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
63.0,5052286.340000002,95.72815533980582,47.37864077669903,36.50485436893204,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
64.0,5038426.770000002,95.72815533980582,51.45631067961165,41.74757281553398,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
65.0,5024030.379999999,95.72815533980582,51.067961165048544,40.0,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
66.0,5009097.170000004,95.72815533980582,56.50485436893204,44.66019417475729,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
67.0,4993627.1400000015,95.72815533980582,57.0873786407767,44.85436893203884,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
68.0,4977620.289999995,95.72815533980582,56.89320388349515,44.07766990291262,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
69.0,4961076.619999995,95.72815533980582,55.92233009708738,44.07766990291262,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
70.0,4943962.780000001,96.11650485436894,55.14563106796116,43.883495145631066,99.6116504854369,72.62135922330097,59.6116504854369,1.0,2.0
71.0,4926247.259999998,96.11650485436894,66.79611650485437,55.533980582524265,99.80582524271846,72.62135922330097,59.6116504854369,1.0,2.0
72.0,4907908.2100000065,96.69902912621359,71.06796116504854,60.38834951456311,99.80582524271846,72.62135922330097,59.6116504854369,1.0,2.0
73.0,4888900.550000002,96.69902912621359,73.39805825242719,60.77669902912621,99.80582524271846,72.62135922330097,59.6116504854369,1.0,2.0
74.0,4869224.280000005,96.69902912621359,84.85436893203884,74.9514563106796,99.80582524271846,72.62135922330097,59.6116504854369,1.0,2.0
75.0,4848879.399999997,96.69902912621359,87.57281553398059,78.44660194174757,99.80582524271846,72.62135922330097,59.6116504854369,1.0,2.0
76.0,4827865.909999997,96.69902912621359,88.93203883495146,78.83495145631068,99.80582524271846,72.62135922330097,59.6116504854369,1.0,2.0
77.0,4806205.660000003,96.69902912621359,89.126213592233,79.80582524271844,99.80582524271846,72.62135922330097,59.6116504854369,1.0,2.0
78.0,4794947.619999996,96.69902912621359,89.70873786407768,55.533980582524265,99.80582524271846,72.62135922330097,33.980582524271846,1.0,2.0
79.0,4783330.320000001,96.69902912621359,89.32038834951457,55.533980582524265,99.80582524271846,72.62135922330097,33.980582524271846,1.0,2.0
80.0,4771353.760000004,96.69902912621359,88.54368932038835,55.33980582524271,99.80582524271846,72.62135922330097,33.980582524271846,1.0,2.0
81.0,4759017.939999998,96.69902912621359,88.54368932038835,54.36893203883495,99.80582524271846,72.62135922330097,33.980582524271846,1.0,2.0
