"tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht"
59.0,3.1067961165048543,8.932038834951456,2.7184466019417477,99.6116504854369,38.44660194174757,38.44660194174757
60.0,3.300970873786408,8.932038834951456,1.7475728155339807,99.6116504854369,28.54368932038835,38.640776699029125
61.0,3.300970873786408,8.932038834951456,1.7475728155339807,99.6116504854369,28.7378640776699,38.83495145631068
62.0,3.300970873786408,8.932038834951456,1.7475728155339807,99.6116504854369,28.932038834951456,39.029126213592235
63.0,3.300970873786408,8.932038834951456,1.7475728155339807,99.6116504854369,28.932038834951456,39.029126213592235
64.0,4.077669902912621,8.932038834951456,1.9417475728155338,99.6116504854369,29.320388349514566,39.029126213592235
65.0,4.077669902912621,8.932038834951456,1.9417475728155338,99.6116504854369,29.902912621359224,39.6116504854369
66.0,4.660194174757281,8.932038834951456,2.3300970873786406,99.6116504854369,33.398058252427184,42.52427184466019
67.0,4.660194174757281,8.932038834951456,2.3300970873786406,99.6116504854369,37.66990291262136,46.601941747572816
68.0,4.660194174757281,8.932038834951456,2.3300970873786406,99.6116504854369,47.76699029126213,55.92233009708738
69.0,4.660194174757281,8.932038834951456,2.3300970873786406,99.6116504854369,54.95145631067962,62.912621359223294
70.0,4.660194174757281,11.650485436893204,2.3300970873786406,99.6116504854369,66.2135922330097,72.81553398058253
71.0,5.242718446601942,11.650485436893204,2.524271844660194,99.80582524271846,72.62135922330097,79.2233009708738
72.0,5.825242718446602,13.980582524271846,2.7184466019417477,99.80582524271846,79.41747572815534,84.46601941747572
73.0,6.601941747572816,13.980582524271846,3.300970873786408,99.80582524271846,86.01941747572816,89.90291262135922
74.0,6.990291262135923,13.980582524271846,3.8834951456310676,99.80582524271846,90.29126213592234,92.42718446601941
75.0,7.572815533980583,13.980582524271846,4.466019417475728,99.80582524271846,93.20388349514563,95.14563106796116
76.0,7.961165048543689,13.980582524271846,4.660194174757281,99.80582524271846,94.1747572815534,95.72815533980582
77.0,8.155339805825243,13.980582524271846,5.048543689320388,99.80582524271846,95.33980582524272,97.0873786407767
78.0,8.54368932038835,13.980582524271846,3.6893203883495143,99.80582524271846,90.29126213592234,98.05825242718447
79.0,8.932038834951456,13.980582524271846,4.077669902912621,99.80582524271846,92.81553398058252,99.02912621359224
80.0,8.932038834951456,17.66990291262136,4.077669902912621,99.80582524271846,94.5631067961165,99.41747572815534
81.0,8.932038834951456,20.19417475728155,4.077669902912621,99.80582524271846,94.95145631067962,99.41747572815534
82.0,8.932038834951456,20.19417475728155,4.077669902912621,100.0,95.53398058252426,99.41747572815534
83.0,8.932038834951456,20.19417475728155,4.077669902912621,100.0,95.72815533980582,99.6116504854369
84.0,8.737864077669903,20.19417475728155,0.3883495145631068,100.0,38.44660194174757,99.6116504854369
85.0,8.737864077669903,20.19417475728155,0.3883495145631068,100.0,40.3883495145631,99.6116504854369
86.0,9.902912621359224,20.19417475728155,0.9708737864077669,100.0,44.66019417475729,99.6116504854369
87.0,10.87378640776699,20.19417475728155,1.9417475728155338,100.0,48.932038834951456,99.6116504854369
88.0,12.427184466019417,20.19417475728155,3.1067961165048543,100.0,52.42718446601942,99.6116504854369
89.0,13.203883495145632,20.19417475728155,3.6893203883495143,100.0,57.28155339805825,99.6116504854369
90.0,13.592233009708737,20.19417475728155,3.8834951456310676,100.0,61.359223300970875,99.6116504854369
91.0,13.592233009708737,20.19417475728155,3.8834951456310676,100.0,63.883495145631066,99.6116504854369
92.0,13.592233009708737,20.19417475728155,3.8834951456310676,100.0,67.96116504854369,99.80582524271846
93.0,14.951456310679612,20.19417475728155,6.796116504854369,100.0,72.42718446601941,99.80582524271846
94.0,17.0873786407767,20.19417475728155,9.902912621359224,100.0,78.64077669902912,99.80582524271846
95.0,16.310679611650485,19.80582524271845,9.902912621359224,100.0,85.63106796116506,99.80582524271846
96.0,18.25242718446602,19.80582524271845,12.427184466019417,100.0,90.09708737864077,99.80582524271846
97.0,18.25242718446602,19.80582524271845,12.427184466019417,100.0,92.62135922330097,100.0
98.0,19.611650485436893,19.80582524271845,14.757281553398057,100.0,94.36893203883496,100.0
99.0,19.80582524271845,19.80582524271845,15.145631067961165,100.0,94.95145631067962,100.0
100.0,19.80582524271845,19.80582524271845,15.145631067961165,100.0,95.14563106796116,100.0
101.0,18.058252427184467,18.058252427184467,15.145631067961165,100.0,95.72815533980582,100.0
102.0,18.058252427184467,27.57281553398058,15.145631067961165,100.0,95.92233009708738,100.0
103.0,18.058252427184467,30.679611650485437,15.145631067961165,100.0,95.92233009708738,100.0
104.0,18.058252427184467,30.679611650485437,15.145631067961165,100.0,95.92233009708738,100.0
105.0,18.058252427184467,32.62135922330097,15.145631067961165,100.0,95.92233009708738,100.0
106.0,18.058252427184467,33.20388349514563,15.145631067961165,100.0,95.92233009708738,100.0
107.0,18.058252427184467,33.20388349514563,15.145631067961165,100.0,95.92233009708738,100.0
108.0,18.058252427184467,33.20388349514563,15.145631067961165,100.0,95.92233009708738,100.0
109.0,18.058252427184467,33.20388349514563,15.145631067961165,100.0,95.92233009708738,100.0
110.0,18.058252427184467,33.20388349514563,15.145631067961165,100.0,95.92233009708738,100.0
111.0,18.058252427184467,33.20388349514563,15.145631067961165,100.0,95.92233009708738,100.0
112.0,18.058252427184467,33.20388349514563,15.145631067961165,100.0,95.92233009708738,100.0
113.0,18.058252427184467,33.20388349514563,15.145631067961165,100.0,95.92233009708738,100.0
114.0,18.058252427184467,34.56310679611651,15.145631067961165,100.0,96.50485436893203,100.0
115.0,21.553398058252426,34.56310679611651,18.25242718446602,100.0,96.69902912621359,100.0
116.0,25.04854368932039,34.56310679611651,22.52427184466019,100.0,97.66990291262137,100.0
117.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
118.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
119.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
120.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
121.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
122.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
123.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
124.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
125.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
126.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
127.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
128.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
129.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
130.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
131.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
132.0,25.436893203883493,33.20388349514563,25.436893203883493,100.0,98.64077669902913,100.0
