"tick","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","Ertrag"
81.0,90.09708737864077,63.30097087378641,40.97087378640777,93.98058252427185,92.23300970873787,58.252427184466015,5011622.109999999
82.0,90.29126213592234,63.30097087378641,42.52427184466019,96.69902912621359,92.23300970873787,58.44660194174758,5006879.509999997
83.0,90.29126213592234,65.0485436893204,45.24271844660194,96.89320388349515,92.42718446601941,58.44660194174758,5001947.389999995
84.0,90.48543689320388,69.70873786407768,23.689320388349515,96.89320388349515,92.42718446601941,0.0,5001378.589999998
85.0,90.48543689320388,70.48543689320388,23.689320388349515,96.89320388349515,92.42718446601941,0.0,5000726.390000003
86.0,90.48543689320388,72.23300970873787,26.796116504854368,96.89320388349515,92.42718446601941,0.0,4999990.789999995
87.0,90.48543689320388,70.29126213592232,31.844660194174757,96.89320388349515,92.42718446601941,0.0,4999171.789999999
88.0,90.48543689320388,78.05825242718447,40.97087378640777,96.89320388349515,93.00970873786409,5.048543689320388,4998269.389999996
89.0,90.48543689320388,77.86407766990291,43.10679611650485,96.89320388349515,93.7864077669903,10.679611650485436,4997283.589999996
90.0,90.48543689320388,80.3883495145631,46.019417475728154,96.89320388349515,93.7864077669903,12.815533980582524,4996214.3900000015
91.0,90.48543689320388,81.74757281553397,45.43689320388349,96.89320388349515,93.98058252427185,13.203883495145632,4995061.789999993
92.0,90.48543689320388,81.35922330097087,46.601941747572816,96.89320388349515,93.98058252427185,13.203883495145632,4993825.79
93.0,90.48543689320388,83.88349514563107,50.29126213592233,96.89320388349515,93.98058252427185,13.592233009708737,4992506.39
94.0,90.48543689320388,83.88349514563107,52.23300970873787,96.89320388349515,93.98058252427185,13.78640776699029,4991103.589999999
95.0,90.48543689320388,83.88349514563107,52.62135922330097,96.89320388349515,96.69902912621359,42.71844660194174,4989617.390000003
96.0,90.48543689320388,84.07766990291262,53.00970873786408,96.89320388349515,96.89320388349515,46.40776699029126,4988047.789999997
97.0,90.48543689320388,84.46601941747572,53.00970873786408,96.89320388349515,96.89320388349515,47.96116504854369,4986394.79
98.0,90.48543689320388,78.64077669902912,55.72815533980583,96.89320388349515,96.89320388349515,48.737864077669904,4984658.389999997
99.0,90.48543689320388,78.83495145631068,57.0873786407767,96.89320388349515,96.89320388349515,49.12621359223301,4982838.590000001
100.0,90.48543689320388,78.64077669902912,57.86407766990291,96.89320388349515,96.89320388349515,49.320388349514566,4980935.390000001
101.0,90.48543689320388,78.44660194174757,57.86407766990291,96.89320388349515,96.89320388349515,49.320388349514566,4978948.789999995
102.0,92.62135922330097,77.86407766990291,56.50485436893204,96.89320388349515,96.89320388349515,49.320388349514566,4976734.999000003
103.0,92.81553398058252,78.44660194174757,57.0873786407767,96.89320388349515,96.89320388349515,49.320388349514566,4974392.784999997
104.0,93.00970873786409,57.28155339805825,57.28155339805825,96.89320388349515,96.89320388349515,49.320388349514566,4971967.170999997
105.0,93.98058252427185,57.66990291262136,57.66990291262136,98.64077669902913,96.89320388349515,49.320388349514566,4969171.664999999
106.0,94.5631067961165,56.89320388349515,56.89320388349515,98.83495145631068,96.89320388349515,49.320388349514566,4966079.431999999
107.0,94.5631067961165,57.28155339805825,57.28155339805825,98.83495145631068,96.89320388349515,49.320388349514566,4962715.013999997
108.0,94.5631067961165,56.50485436893204,56.50485436893204,98.83495145631068,96.89320388349515,49.320388349514566,4959078.411000002
109.0,94.5631067961165,56.310679611650485,56.310679611650485,98.83495145631068,96.89320388349515,49.320388349514566,4955169.623000001
110.0,94.75728155339806,57.0873786407767,57.0873786407767,98.83495145631068,96.89320388349515,49.320388349514566,4950988.650000002
111.0,94.75728155339806,56.699029126213595,56.699029126213595,98.83495145631068,96.89320388349515,49.320388349514566,4946535.491999998
112.0,94.75728155339806,56.89320388349515,56.89320388349515,98.83495145631068,96.89320388349515,49.320388349514566,4941810.149
113.0,94.75728155339806,56.89320388349515,56.89320388349515,98.83495145631068,96.89320388349515,49.320388349514566,4936812.621000006
114.0,95.53398058252426,57.66990291262136,57.66990291262136,98.83495145631068,96.89320388349515,49.320388349514566,4931481.458000002
115.0,95.72815533980582,64.27184466019418,64.27184466019418,98.83495145631068,96.89320388349515,49.320388349514566,4925878.110000008
116.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4920002.576999997
117.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4914127.044000006
118.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4908251.511000007
119.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4902375.978000003
120.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4896500.444999998
121.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4890624.912000001
122.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4884749.379000004
123.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4878873.846000002
124.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4872998.312999998
125.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4867122.780000007
126.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4861247.247000002
127.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4855371.714
128.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4849496.181000001
129.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4843620.648000004
130.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4837745.115000003
131.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4831869.581999998
132.0,95.72815533980582,69.12621359223301,69.12621359223301,98.83495145631068,96.89320388349515,49.320388349514566,4825994.049
